Geneid	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5
ENSG00000277248	0	0	0	0	0	0
ENSG00000283047	0	0	0	0	0	0
ENSG00000280363	548	547	540	210	212	209
ENSG00000279973	75	75	82	1145	1145	1143
ENSG00000226444	0	0	0	0	0	0
ENSG00000276871	0	0	0	0	0	0
ENSG00000283023	0	0	0	0	0	0
ENSG00000276138	0	0	0	0	0	0
ENSG00000280341	0	0	0	0	0	0
ENSG00000236235	0	0	0	0	0	0
ENSG00000279442	0	0	0	0	0	0
ENSG00000184624	0	0	0	0	0	0
ENSG00000236097	0	0	0	0	0	0
ENSG00000236831	0	0	0	0	0	0
ENSG00000130538	96	95	98	241	240	240
ENSG00000237299	0	0	0	0	0	0
ENSG00000235759	0	0	0	0	0	0
ENSG00000233408	0	0	0	0	0	0
ENSG00000215268	0	0	0	0	0	0
ENSG00000213727	0	0	0	0	0	0
ENSG00000230643	0	0	0	0	0	0
ENSG00000230471	0	0	0	0	0	0
ENSG00000231565	0	0	0	0	0	0
ENSG00000226474	0	0	0	0	0	0
ENSG00000224435	0	0	0	0	0	0
ENSG00000234381	0	0	0	0	0	0
ENSG00000198062	0	0	0	0	0	0
ENSG00000236666	0	0	0	0	0	0
ENSG00000212216	0	0	0	0	0	0
ENSG00000241838	0	0	0	0	0	0
ENSG00000225255	0	0	0	0	0	0
ENSG00000235992	0	0	0	0	0	0
ENSG00000206195	0	0	0	0	0	0
ENSG00000271127	0	0	0	0	0	0
ENSG00000232775	0	0	0	0	0	0
ENSG00000272872	0	0	0	0	0	0
ENSG00000271672	0	0	0	0	0	0
ENSG00000223875	0	0	0	0	0	0
ENSG00000215270	0	0	0	0	0	0
ENSG00000229286	0	0	0	0	0	0
ENSG00000233866	0	0	0	0	0	0
ENSG00000278188	0	0	0	0	0	0
ENSG00000225293	0	0	0	0	0	0
ENSG00000226160	0	0	0	0	0	0
ENSG00000229658	0	0	0	0	0	0
ENSG00000227367	0	0	0	0	0	0
ENSG00000280263	0	0	0	0	0	0
ENSG00000235969	0	0	0	0	0	0
ENSG00000273362	0	0	0	0	0	0
ENSG00000233995	0	0	0	0	0	0
ENSG00000239435	0	0	0	0	0	0
ENSG00000198445	3106	3122	3126	236	247	257
ENSG00000240122	0	0	0	0	0	0
ENSG00000100181	0	0	0	0	0	0
ENSG00000283633	0	0	0	0	0	0
ENSG00000267338	0	0	0	0	0	0
ENSG00000249288	0	0	0	0	0	0
ENSG00000249263	0	0	0	0	0	0
ENSG00000189295	0	0	0	0	0	0
ENSG00000259271	0	0	0	0	0	0
ENSG00000273244	0	0	0	0	0	0
ENSG00000241717	0	0	0	0	0	0
ENSG00000235343	0	0	0	0	0	0
ENSG00000172967	208	207	190	236	240	227
ENSG00000229027	0	0	0	0	0	0
ENSG00000234121	0	0	0	0	0	0
ENSG00000283535	0	0	0	0	0	0
ENSG00000237835	0	0	0	0	0	0
ENSG00000220248	0	0	0	0	0	0
ENSG00000237689	0	0	0	0	0	0
ENSG00000228122	0	0	0	0	0	0
ENSG00000237358	0	0	0	0	0	0
ENSG00000225480	0	0	0	0	0	0
ENSG00000230481	0	0	0	0	0	0
ENSG00000253691	0	0	0	0	0	0
ENSG00000253460	0	0	0	0	0	0
ENSG00000254264	0	0	0	0	0	0
ENSG00000253481	0	0	0	0	0	0
ENSG00000280156	0	0	0	0	0	0
ENSG00000215568	0	0	0	0	0	0
ENSG00000270226	0	0	0	0	0	0
ENSG00000276400	0	0	0	0	0	0
ENSG00000237438	0	0	0	0	0	0
ENSG00000273203	0	0	0	0	0	0
ENSG00000273442	0	0	0	0	0	0
ENSG00000177663	89	92	88	179	183	184
ENSG00000235328	0	0	0	0	0	0
ENSG00000183307	101	103	104	87	81	84
ENSG00000235478	0	0	0	0	0	0
ENSG00000069998	319	337	328	189	184	198
ENSG00000185837	0	0	0	0	0	0
ENSG00000093072	206	212	216	127	119	113
ENSG00000236325	0	0	0	0	0	0
ENSG00000203416	0	0	0	0	0	0
ENSG00000241832	0	0	0	0	0	0
ENSG00000231004	0	0	0	0	0	0
ENSG00000239547	0	0	0	0	0	0
ENSG00000099954	249	246	254	4148	4141	4135
ENSG00000229492	0	0	0	0	0	0
ENSG00000232305	0	0	0	0	0	0
ENSG00000228045	0	0	0	0	0	0
ENSG00000182902	302	298	299	194	179	188
ENSG00000236754	0	0	0	0	0	0
ENSG00000131100	161	163	164	1755	1801	1748
ENSG00000099968	203	205	203	1457	1443	1443
ENSG00000015475	69	67	66	845	828	849
ENSG00000264757	0	0	0	0	0	0
ENSG00000269220	0	0	0	0	0	0
ENSG00000243156	143	136	140	66	68	74
ENSG00000093100	0	0	0	0	0	0
ENSG00000207780	0	0	0	0	0	0
ENSG00000235445	0	0	0	0	0	0
ENSG00000234913	0	0	0	0	0	0
ENSG00000237446	0	0	0	0	0	0
ENSG00000235295	0	0	0	0	0	0
ENSG00000225335	0	0	0	0	0	0
ENSG00000215193	3650	3626	3643	318	297	294
ENSG00000236890	0	0	0	0	0	0
ENSG00000235617	0	0	0	0	0	0
ENSG00000225225	0	0	0	0	0	0
