Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000198445	1647.60119276012	-3.58801854544535	0.161504671999947	-22.216190411176	2.39549126725687e-109	2.50896190623219e-108
ENSG00000215193	1930.93841149166	-3.51437155897641	0.167949209097343	-20.9252045774117	3.15706896123313e-97	2.28456990285598e-96
ENSG00000093010	656.144081280077	-2.47548680285656	0.133897481393316	-18.4879265621507	2.58296759445268e-76	1.4082480857427e-75
ENSG00000234409	970.654252692723	-3.69505816993324	0.150692223090131	-24.5205631329972	8.91601803854461e-133	2.7296732148775e-131
ENSG00000099937	1798.14401156372	-3.85951874350407	0.166173474514303	-23.2258412769233	2.49645677018482e-119	3.82149920974446e-118
ENSG00000100121	112.887312022211	-3.27069801504091	0.223040571238044	-14.6641393396998	1.09395471853676e-48	4.35393977977632e-48
ENSG00000189269	145.940073654729	-2.06159556326014	0.166160436903674	-12.4072589220217	2.38684987872678e-35	7.42161134166609e-35
ENSG00000187792	1366.64329214751	-3.19920443749072	0.15241824517101	-20.9896422432976	8.15573080496985e-98	6.12449218939245e-97
ENSG00000099977	265.243082155697	-2.78169761636813	0.154956866028145	-17.9514318253113	4.67689180167141e-72	2.35620624944965e-71
ENSG00000099994	605.449014501733	-2.00348875876532	0.130978831058855	-15.2962791205937	8.09545097968854e-53	3.74649940687911e-52
ENSG00000099998	2466.88900552963	-4.36032775142004	0.185541359308856	-23.5005702645616	4.02434177505046e-122	6.67370011029202e-121
ENSG00000138867	655.011409810367	-2.52559926754499	0.134379196962291	-18.7945703251502	8.36549005643154e-79	4.75637863208536e-78
ENSG00000100028	915.430276202562	-2.61610613719617	0.138137322502137	-18.938445380362	5.49971583170955e-80	3.21895132503e-79
ENSG00000206069	1087.11480736727	-2.79076273981969	0.14271482389472	-19.5548203309169	3.75325101096944e-85	2.29814446517821e-84
ENSG00000100219	1343.59264447904	-3.37045023088884	0.152521270103148	-22.0982308146887	3.28695354167478e-108	3.19075002338186e-107
ENSG00000183762	495.618928325112	-2.60625058038339	0.136625581042364	-19.0758609075943	4.00768321404598e-81	2.38068346147806e-80
ENSG00000182944	726.028905375832	-2.54586265037006	0.135166125266922	-18.8350642244317	3.89654147020371e-79	2.24757029730591e-78
ENSG00000128250	1080.90047088602	-3.45631385137342	0.148587890703993	-23.2610735302708	1.09904632038128e-119	1.749681742047e-118
ENSG00000099992	384.845955357209	-2.09508389357696	0.136482753261485	-15.3505394895063	3.51253141291231e-53	1.64469117922247e-52
ENSG00000242114	631.679388878458	-3.64228138133946	0.152949585890359	-23.8136073408555	2.41424144694648e-125	5.05720050465631e-124
ENSG00000183963	1951.90001019941	-3.78973052834458	0.169606825147468	-22.3442100578767	1.37457841126107e-110	1.47860056130244e-109
ENSG00000138942	441.51320291746	-2.96073657213358	0.143467854400085	-20.636933510395	1.27925546033421e-94	8.77833919332783e-94
ENSG00000185721	204.886559842251	-2.37249347889169	0.155336987790374	-15.2732038430754	1.15363046164584e-52	5.2775278590235e-52
ENSG00000128245	2173.39465530094	-3.84545185395338	0.175202295752154	-21.9486385006808	8.92340265581741e-107	8.25933548143099e-106
ENSG00000100191	1258.98066344995	-4.25725305330619	0.160580794524485	-26.5115953991437	7.1245946576801e-155	9.4519622458556e-153
ENSG00000185666	810.09640260114	-4.04899462355643	0.15483818155378	-26.149846135658	9.89501254467543e-151	7.87642998556164e-149
ENSG00000100234	733.144082811959	-3.27733607752752	0.142852284708115	-22.9421327367917	1.76559215746365e-116	2.42312302989838e-115
ENSG00000100281	255.923539372954	-2.1778251710677	0.143772642868185	-15.1477021470934	7.84622691554696e-52	3.5486344458951e-51
ENSG00000100320	1027.81814373319	-2.59868410142494	0.140658681067109	-18.4751064186724	3.27580726463493e-76	1.76185309638473e-75
ENSG00000100362	493.982547099997	-2.78570936295466	0.138709600171968	-20.0830321729788	1.03857732330629e-89	6.66699636574038e-89
ENSG00000278195	875.592721705499	-2.97776280251937	0.141088998925434	-21.105563333773	7.07071693533275e-99	5.41181796204315e-98
ENSG00000241360	118.21480872381	-2.31075684636718	0.184462341452427	-12.5269842514882	5.31453610734095e-36	1.67871854819183e-35
ENSG00000100097	434.250959642902	-3.50999442762101	0.153868658806823	-22.8116268435646	3.51539466463143e-115	4.66375692174436e-114
ENSG00000100106	612.407561881781	-2.63101115778424	0.140936608117677	-18.6680465276094	9.00880855794937e-78	4.97986917508868e-77
ENSG00000100156	1517.1247678782	-4.19000957075743	0.163230575386416	-25.6692691356287	2.57680868798001e-145	1.70928309636007e-143
ENSG00000100196	508.977124993275	-3.30841410165938	0.146734433803789	-22.5469510863642	1.43861386711683e-112	1.73505551246211e-111
ENSG00000184949	904.591884379088	-2.58492362803913	0.13800436776087	-18.7307378018514	2.78036002781824e-78	1.55856801559388e-77
ENSG00000100221	1056.16200109477	-3.90359166303425	0.153640583586333	-25.407295207524	2.09465207710324e-142	1.04208940835886e-140
ENSG00000100226	530.423128239164	-2.29590056783419	0.132758440871382	-17.2938199090368	5.23643549479146e-67	2.57296460114445e-66
ENSG00000100324	1133.07122681347	-3.31823456908616	0.147456581156674	-22.503129687786	3.86784184828231e-112	4.52765016357753e-111
ENSG00000128268	503.056831349768	-3.01493008716431	0.142172982494082	-21.2060690735654	8.39416031644188e-100	6.68175161188774e-99
ENSG00000100401	708.052540968561	-3.10239684951879	0.140820510375992	-22.0308592919836	1.45781543098886e-107	1.38145367031802e-106
ENSG00000100413	240.902480580863	-2.92473758641164	0.16115914236715	-18.1481332268979	1.32839226998655e-73	6.86623536954086e-73
ENSG00000196419	990.046576027868	-2.50598072703447	0.138752256666777	-18.0608286109015	6.48419342828172e-73	3.30860126212324e-72
ENSG00000159958	1541.47784027256	-3.88151617205073	0.162106824211624	-23.944187364892	1.06227603964834e-126	2.64241164862524e-125
ENSG00000100162	491.045858592812	-3.38472350721067	0.14853791676099	-22.7869326635096	6.17951817361017e-115	7.93370397773177e-114
ENSG00000198951	478.403601153067	-2.71459485602305	0.138060522763235	-19.6623538843063	4.53203284368078e-86	2.86309376473802e-85
ENSG00000183172	2266.51717587576	-4.24785534702082	0.179769576960075	-23.6294450866079	1.92045260036267e-123	3.32321797801889e-122
ENSG00000184983	683.176920569678	-3.74720398661104	0.150680980562697	-24.8684603233774	1.63298729529279e-136	6.4992894352653e-135
ENSG00000183569	60.2240794042959	-2.77163302472268	0.261068690154141	-10.6164895648201	2.4977833104955e-26	6.90359553873061e-26
ENSG00000186732	940.176977372449	-2.32891371717264	0.136694808034327	-17.0373238798345	4.34147804876403e-65	2.08181718482901e-64
ENSG00000188677	462.915538535279	-3.44330680736979	0.151250113372805	-22.7656477776162	1.00438649187529e-114	1.2492056992699e-113
ENSG00000138964	2122.74966808835	-3.71279742592254	0.172647798227202	-21.5050377939749	1.39671757863603e-102	1.23531910288253e-101
ENSG00000075240	2172.19906250014	-3.8918780907575	0.175332395279144	-22.197142088667	3.65992407752721e-109	3.73499944322007e-108
ENSG00000073146	190.4371942686	-2.40440481459918	0.159178998994298	-15.1050379119755	1.50020096083576e-51	6.70876384733295e-51
ENSG00000188130	466.9833825898	-3.73366330481145	0.157668676118611	-23.6804379710952	5.73601213575359e-124	1.0376967409227e-122
ENSG00000100239	550.057816559332	-2.43909901601732	0.13402490208088	-18.1988494537037	5.27031193907946e-74	2.79677886900483e-73
